"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HEALTHEXP","TOT","PC_GDP","A","1976",6.74,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1977",6.681,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1978",6.949,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1979",6.924,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1980",7.022,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1981",6.024,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1982",5.999,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1983",5.832,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1984",5.879,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1985",6.008,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1986",6.115,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1987",6.405,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1988",6.397,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1989",6.54,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1990",7.718,"B"
"AUT","HEALTHEXP","TOT","PC_GDP","A","1991",7.782,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1992",8.077,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1993",8.601,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1994",8.99,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1995",8.924,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1996",8.884,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1997",8.984,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1998",9.15,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1999",9.302,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2000",9.204,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2001",9.269,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2002",9.395,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2003",9.547,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2004",9.709,"B"
"AUT","HEALTHEXP","TOT","PC_GDP","A","2005",9.627,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2006",9.531,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2007",9.532,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2008",9.726,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2009",10.226,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2010",10.221,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2011",10.026,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2012",10.199,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2013",10.286,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2014",10.368,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2015",10.368,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2016",10.361,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2017",10.356,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2018",10.316,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2019",10.408,"P"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1970",3.856,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1971",3.943,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1972",4.098,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1973",4.378,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1974",4.443,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1975",5.547,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1976",5.755,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1977",6.226,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1978",6.416,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1979",6.398,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1980",6.181,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1981",6.596,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1982",6.824,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1983",6.991,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1984",6.833,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1985",6.883,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1986",7.054,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1987",7.162,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1988",7.161,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1989",7.104,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1990",7.147,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1991",7.459,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1992",7.639,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1993",7.763,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1994",7.56,"D"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1995",7.519,"B"
"BEL","HEALTHEXP","TOT","PC_GDP","A","1996",7.814,
"BEL","HEALTHEXP","TOT","PC_GDP","A","1997",7.675,
"BEL","HEALTHEXP","TOT","PC_GDP","A","1998",7.797,
"BEL","HEALTHEXP","TOT","PC_GDP","A","1999",7.963,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2000",7.999,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2001",8.15,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2002",8.318,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2003",9.208,"B"
"BEL","HEALTHEXP","TOT","PC_GDP","A","2004",9.367,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2005",9.262,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2006",9.162,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2007",9.167,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2008",9.632,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2009",10.356,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2010",10.234,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2011",10.392,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2012",10.507,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2013",10.562,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2014",10.44,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2015",10.427,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2016",10.282,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2017",10.406,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2018",10.319,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2019",10.349,"E"
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2003",615.912,"B"
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2004",628.268,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2005",634.089,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2006",656.662,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2007",691.171,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2008",717.927,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2009",743.549,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2010",781.335,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2011",804.492,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2012",826.488,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2013",875.827,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2014",893.825,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2015",907.434,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2016",904.723,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2017",953.995,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2018",972.179,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1970",6.258,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1971",6.512,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1972",6.431,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1973",6.126,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1974",6.036,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1975",6.493,"B"
"CAN","HEALTHEXP","TOT","PC_GDP","A","1976",6.5,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1977",6.48,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1978",6.457,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1979",6.35,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1980",6.536,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1981",6.766,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1982",7.495,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1983",7.664,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1984",7.551,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1985",7.558,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1986",7.798,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1987",7.739,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1988",7.738,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1989",7.946,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1990",8.364,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1991",9.048,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1992",9.3,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1993",9.186,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1994",8.835,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1995",8.532,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1996",8.335,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1997",8.317,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1998",8.547,
"CAN","HEALTHEXP","TOT","PC_GDP","A","1999",8.329,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2000",8.248,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2001",8.625,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2002",8.857,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2003",9.011,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2004",9.066,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2005",9.035,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2006",9.318,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2007",9.414,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2008",9.575,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2009",10.682,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2010",10.659,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2011",10.315,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2012",10.429,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2013",10.34,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2014",10.25,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2015",10.683,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2016",10.979,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2017",10.79,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2018",10.79,"P"
"CAN","HEALTHEXP","TOT","PC_GDP","A","2019",10.79,"P"
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1988",223.963,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1989",238.059,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1990",254.274,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1991",265.285,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1992",278.596,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1993",296.462,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1994",314.322,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1995",327.392,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1996",334.855,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1997",363.29,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1998",368.417,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","1999",388.847,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2000",406.989,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2001",417.7,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2002",438.762,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2003",444.204,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2004",477.106,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2005",505.911,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2006",544.159,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2007",567.614,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2008",584.815,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2009",587.067,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2010",630.669,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2011",607.985,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2012",613.751,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2013",616.354,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2014",661.359,"B"
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2015",656.492,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2016",761.404,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2017",772.157,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2018",778.767,"P"
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2019",795.389,"P"
"CZE","HEALTHEXP","TOT","PC_GDP","A","1990",3.736,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1991",3.872,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1992",3.995,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1993",5.351,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1994",5.513,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1995",5.736,"B"
"CZE","HEALTHEXP","TOT","PC_GDP","A","1996",5.62,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1997",5.631,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1998",5.62,
"CZE","HEALTHEXP","TOT","PC_GDP","A","1999",5.796,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2000",5.718,"B"
"CZE","HEALTHEXP","TOT","PC_GDP","A","2001",5.888,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2002",6.199,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2003",6.554,"B"
"CZE","HEALTHEXP","TOT","PC_GDP","A","2004",6.385,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2005",6.381,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2006",6.196,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2007",6.016,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2008",6.36,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2009",7.293,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2010",6.928,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2011",6.977,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2012",7.028,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2013",7.807,"B"
"CZE","HEALTHEXP","TOT","PC_GDP","A","2014",7.653,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2015",7.243,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2016",7.15,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2017",7.231,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2018",7.647,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2019",7.759,"E"
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1990",14.462,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1991",16.583,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1992",24.368,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1993",39.262,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1994",50.957,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1995",83.447,"B"
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1996",88.863,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1997",92.59,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1998",93.384,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","1999",95.105,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2000",104.579,"B"
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2001",123.424,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2002",126.79,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2003",144.488,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2004",156.724,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2005",168.988,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2006",181.566,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2007",226.256,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2008",294.094,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2009",309.091,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2010",305.183,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2011",306.723,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2012",319.666,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2013",332.654,"B"
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2014",361.148,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2015",377.458,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2016",401.268,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2017",428.195,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2018",449.937,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1971",7.677,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1972",7.768,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1973",7.585,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1974",8.291,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1975",8.536,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1976",8.441,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1977",8.259,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1978",8.377,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1979",8.474,"D"
"DNK","HEALTHEXP","TOT","PC_GDP","A","1980",8.416,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1981",8.575,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1982",8.624,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1983",8.418,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1984",7.97,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1985",7.947,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1986",7.734,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1987",8.054,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1988",8.191,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1989",8.061,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1990",8.038,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1991",7.94,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1992",7.956,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1993",8.289,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1994",8.077,
"DNK","HEALTHEXP","TOT","PC_GDP","A","1995",7.771,
