Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year,Region
34,Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,2019,Southeastern Asia
35,El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,2019,Latin America and Caribbean
36,Italy,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,2019,Western Europe
37,Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,2019,Middle East and Northern Africa
38,Slovakia,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,2019,Central and Eastern Europe
40,Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,2019,Central and Eastern Europe
41,Uzbekistan,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,2019,Central and Eastern Europe
42,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,2019,Central and Eastern Europe
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019,Latin America and Caribbean
44,Slovenia,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,2019,Central and Eastern Europe
45,Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,2019,Latin America and Caribbean
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019,Central and Eastern Europe
47,Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,2019,Latin America and Caribbean
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019,Central and Eastern Europe
49,Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,2019,Western Europe
50,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,2019,Latin America and Caribbean
51,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,2019,Middle East and Northern Africa
52,Thailand,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.027999999999999997,2019,Southeastern Asia
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019,Central and Eastern Europe
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,2019,Eastern Asia
55,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,2019,Central and Eastern Europe
56,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,2019,Latin America and Caribbean
57,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,2019,Sub-Saharan Africa
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019,Eastern Asia
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,2019,Latin America and Caribbean
60,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,2019,Central and Eastern Europe
61,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,2019,Latin America and Caribbean
62,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,2019,Central and Eastern Europe
63,Paraguay,5.742999999999999,0.855,1.475,0.777,0.514,0.184,0.08,2019,Latin America and Caribbean
65,Peru,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,2019,Latin America and Caribbean
66,Portugal,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,2019,Western Europe
67,Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,2019,Southern Asia
68,Russia,5.648,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999,0.031,2019,Central and Eastern Europe
69,Philippines,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107,2019,Southeastern Asia
70,Serbia,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039,2019,Central and Eastern Europe
71,Moldova,5.529,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0,2019,Central and Eastern Europe
72,Libya,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152,2019,Middle East and Northern Africa
73,Montenegro,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,2019,Central and Eastern Europe
74,Tajikistan,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,2019,Central and Eastern Europe
75,Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,2019,Central and Eastern Europe
76,Hong Kong,5.43,1.4380000000000002,1.2770000000000001,1.122,0.44,0.258,0.287,2019,Eastern Asia
77,Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,2019,Latin America and Caribbean
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019,Central and Eastern Europe
79,Turkey,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.083,0.106,2019,Middle East and Northern Africa
80,Malaysia,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.26,0.024,2019,Southeastern Asia
81,Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142,2019,Central and Eastern Europe
82,Greece,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,2019,Western Europe
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019,Eastern Asia
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,2019,Sub-Saharan Africa
86,Kyrgyzstan,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,2019,Central and Eastern Europe
87,Turkmenistan,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.244,0.027999999999999997,2019,Central and Eastern Europe
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,Middle East and Northern Africa
89,Morocco,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,2019,Middle East and Northern Africa
90,Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,2019,Central and Eastern Europe
91,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,2019,Middle East and Northern Africa
92,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,2019,Southeastern Asia
93,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,2019,Eastern Asia
94,Vietnam,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073,2019,Southeastern Asia
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998,2019,Southern Asia
96,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,2019,Sub-Saharan Africa
97,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,2019,Central and Eastern Europe
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,Sub-Saharan Africa
99,Ivory Coast,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.154,0.09,2019,Sub-Saharan Africa
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,2019,Southern Asia
101,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,2019,Middle East and Northern Africa
102,Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,2019,Sub-Saharan Africa
103,Congo (Brazzaville),4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,2019,Sub-Saharan Africa
104,Gabon,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,2019,Sub-Saharan Africa
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,2019,Southeastern Asia
106,South Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055,2019,Sub-Saharan Africa
107,Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,2019,Central and Eastern Europe
108,Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,2019,Latin America and Caribbean
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,2019,Southeastern Asia
110,Palestinian Territories,4.696000000000001,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,2019,Middle East and Northern Africa
111,Senegal,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,2019,Sub-Saharan Africa
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019,Sub-Saharan Africa
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019,Sub-Saharan Africa
116,Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,2019,Central and Eastern Europe
117,Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,2019,Middle East and Northern Africa
118,Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,2019,Sub-Saharan Africa
119,Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,2019,Central and Eastern Europe
121,Kenya,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,2019,Sub-Saharan Africa
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,2019,Sub-Saharan Africa
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,2019,Sub-Saharan Africa
124,Tunisia,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,2019,Middle East and Northern Africa
125,Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,2019,Southern Asia
126,Iraq,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,2019,Middle East and Northern Africa
127,Congo (Kinshasa),4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,2019,Sub-Saharan Africa
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,2019,Sub-Saharan Africa
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019,Sub-Saharan Africa
130,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,2019,Southern Asia
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,2019,Southeastern Asia
132,Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,2019,Sub-Saharan Africa
133,Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,2019,Central and Eastern Europe
134,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,2019,Sub-Saharan Africa
135,Swaziland,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,2019,Sub-Saharan Africa
136,Uganda,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,2019,Sub-Saharan Africa
137,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,2019,Middle East and Northern Africa
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019,Sub-Saharan Africa
139,Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,2019,Sub-Saharan Africa
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019,Southern Asia
141,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,2019,Sub-Saharan Africa
142,Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,2019,Sub-Saharan Africa
143,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,2019,Sub-Saharan Africa
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,2019,Sub-Saharan Africa
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,2019,Sub-Saharan Africa
146,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,2019,Sub-Saharan Africa
147,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,2019,Latin America and Caribbean
148,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,2019,Sub-Saharan Africa
149,Syria,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,0.141,2019,Middle East and Northern Africa
150,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,2019,Sub-Saharan Africa
151,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,2019,Middle East and Northern Africa
152,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,2019,Sub-Saharan Africa
153,Tanzania,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,2019,Sub-Saharan Africa
154,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,2019,Southern Asia
155,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,2019,Sub-Saharan Africa
